project,year,ramps,days_observed,ramp_days,potential,pct_of_potential,complete
"FOSTER LAKE AT FOSTER, OR",2023,3,318,594,695,85.46762589928058,True
"FOSTER LAKE AT FOSTER, OR",2024,3,319,602,697,86.37015781922526,True
"FOSTER LAKE AT FOSTER, OR",2025,3,318,591,695,85.03597122302158,True
"GREEN PETER LAKE NEAR FOSTER, OR",2016,2,319,466,556,83.81294964028777,True
"GREEN PETER LAKE NEAR FOSTER, OR",2017,2,317,517,552,93.65942028985508,True
"GREEN PETER LAKE NEAR FOSTER, OR",2018,2,318,408,554,73.64620938628158,True
"GREEN PETER LAKE NEAR FOSTER, OR",2019,2,318,419,554,75.63176895306859,True
"GREEN PETER LAKE NEAR FOSTER, OR",2020,2,319,490,556,88.12949640287769,True
"GREEN PETER LAKE NEAR FOSTER, OR",2021,2,318,427,554,77.07581227436823,True
"GREEN PETER LAKE NEAR FOSTER, OR",2022,2,318,505,554,91.15523465703971,True
"GREEN PETER LAKE NEAR FOSTER, OR",2023,2,317,332,552,60.14492753623188,True
"GREEN PETER LAKE NEAR FOSTER, OR",2024,2,318,420,555,75.67567567567568,True
"GREEN PETER LAKE NEAR FOSTER, OR",2025,2,318,320,554,57.761732851985556,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2016,3,318,448,707,63.366336633663366,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2017,3,315,504,703,71.6927453769559,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2018,3,318,421,708,59.463276836158194,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2019,3,318,577,708,81.49717514124293,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2020,3,319,561,709,79.12552891396332,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2021,3,318,336,708,47.45762711864407,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2022,3,318,537,708,75.84745762711864,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2023,3,318,304,708,42.93785310734463,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2024,3,319,579,709,81.66431593794076,True
"HILLS CREEK LAKE NEAR OAKRIDGE, OR",2025,3,318,414,708,58.47457627118644,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2016,4,318,364,806,45.16129032258065,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2017,4,318,684,809,84.54882571075402,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2018,4,314,336,805,41.73913043478261,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2019,4,318,504,809,62.2991347342398,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2020,4,319,468,810,57.77777777777778,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2021,4,318,318,809,39.30778739184178,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2022,4,318,427,809,52.78121137206428,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2023,4,89,4,102,3.9215686274509802,False
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2024,4,319,385,810,47.53086419753087,True
"LOOKOUT POINT LAKE NEAR LOWELL, OR",2025,4,318,406,809,50.18541409147095,True
