date,project,site_no,elev_ft
2016-04-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.06
2016-04-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.77
2016-04-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.35
2016-04-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.74
2016-04-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.16
2016-04-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.83
2016-04-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.93
2016-04-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.45
2016-04-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.48
2016-04-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.28
2016-04-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1192.42
2016-04-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1192.96
2016-04-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1192.84
2016-04-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.92
2016-04-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.18
2016-04-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1194.38
2016-04-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.64
2016-04-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.08
2016-04-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.59
2016-04-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.85
2016-04-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.63
2016-05-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1193.84
2016-05-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1188.78
2016-05-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1188.43
2016-05-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1187.9
2016-05-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1190.71
2016-05-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.36
2016-05-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.82
2016-05-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.73
2016-05-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.6
2016-05-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.83
2016-05-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.94
2016-05-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.18
2016-05-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.86
2016-05-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.9
2016-05-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.86
2016-05-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.46
2016-05-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.44
2016-05-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.47
2016-05-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.99
2016-05-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.9
2016-05-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.03
2016-05-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.81
2016-05-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.51
2016-05-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.74
2016-05-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.41
2016-05-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.82
2016-05-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.44
2016-05-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.3
2016-05-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.85
2016-05-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.24
2016-05-31,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.08
2016-06-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.41
2016-06-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.08
2016-06-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.45
2016-06-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.28
2016-06-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.21
2016-06-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.93
2016-06-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.63
2016-06-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.75
2016-06-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.16
2016-06-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.6
2016-06-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.14
2016-06-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.46
2016-06-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.63
2016-06-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.47
2016-06-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.51
2016-06-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.5
2016-06-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.76
2016-06-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.33
2016-06-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.9
2016-06-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.95
2016-06-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.38
2016-06-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.32
2016-06-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.18
2016-06-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.61
2016-06-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.36
2016-06-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.39
2016-06-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.7
2016-06-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.21
2016-06-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.1
2016-06-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.6
2016-07-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.12
2016-07-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.61
2016-07-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.84
2016-07-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.03
2016-07-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.64
2016-07-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.17
2016-07-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.73
2016-07-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.63
2016-07-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.43
2016-07-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.88
2016-07-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.2
2016-07-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.43
2016-07-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.97
2016-07-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.85
2016-07-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.63
2016-07-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.52
2016-07-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.45
2016-07-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.22
2016-07-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.42
2016-07-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.32
2016-07-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.1
2016-07-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.84
2016-07-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.11
2016-07-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.37
2016-07-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.48
2016-07-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.15
2016-07-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.36
2016-07-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.53
2016-07-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.16
2016-07-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.54
2016-07-31,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.93
2016-08-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.61
2016-08-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.71
2016-08-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.74
2016-08-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.22
2016-08-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.45
2016-08-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.7
2016-08-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.93
2016-08-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.67
2016-08-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.59
2016-08-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.78
2016-08-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.21
2016-08-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.26
2016-08-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.66
2016-08-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.88
2016-08-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.74
2016-08-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.55
2016-08-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.56
2016-08-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.36
2016-08-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.23
2016-08-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.16
2016-08-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.95
2016-08-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.76
2016-08-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.37
2016-08-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.31
2016-08-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.59
2016-08-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.35
2016-08-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.4
2016-08-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.44
2016-08-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.44
2016-08-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1203.39
2016-08-31,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.67
2016-09-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.78
2016-09-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.38
2016-09-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.31
2016-09-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.36
2016-09-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.33
2016-09-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.37
2016-09-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.02
2016-09-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.3
2016-09-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.78
2016-09-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.61
2016-09-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.84
2016-09-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.82
2016-09-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.6
2016-09-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.84
2016-09-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.06
2016-09-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.92
2016-09-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.78
2016-09-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.83
2016-09-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.05
2016-09-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.43
2016-09-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.32
2016-09-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.61
2016-09-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.34
2016-09-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.7
2016-09-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.32
2016-09-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.49
2016-09-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.74
2016-09-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.74
2016-09-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.88
2016-09-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.59
2016-10-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.19
2016-10-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.44
2016-10-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.38
2016-10-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.64
2016-10-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.52
2016-10-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.27
2016-10-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.1
2016-10-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.3
2016-10-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.75
2016-10-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.42
2016-10-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.15
2016-10-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.8
2016-10-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.77
2016-10-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.66
2016-10-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.09
2016-10-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.35
2016-10-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.71
2016-10-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.21
2016-10-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.76
2016-10-20,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.66
2016-10-21,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.6
2016-10-22,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.74
2016-10-23,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.19
2016-10-24,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.61
2016-10-25,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.5
2016-10-26,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.21
2016-10-27,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1201.35
2016-10-28,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.46
2016-10-29,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.42
2016-10-30,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.56
2016-10-31,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.19
2016-11-01,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.97
2016-11-02,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.89
2016-11-03,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1195.62
2016-11-04,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.32
2016-11-05,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.16
2016-11-06,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.85
2016-11-07,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.85
2016-11-08,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1197.43
2016-11-09,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1196.98
2016-11-10,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.28
2016-11-11,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.35
2016-11-12,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.57
2016-11-13,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.02
2016-11-14,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1200.07
2016-11-15,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1202.54
2016-11-16,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1198.87
2016-11-17,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.13
2016-11-18,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.08
2016-11-19,"BIG CLIFF LAKE NEAR NIAGARA, OR",14181400,1199.1
